iter	Passed	Remaining
0	54	109743
1	79	79183
2	300	200049
3	377	188174
4	431	171997
5	655	217725
6	739	210437
7	924	230302
8	994	219992
9	1037	206366
10	1056	190972
11	1096	181649
12	1125	172042
13	1155	163853
14	1203	159234
15	1282	158990
16	1345	156990
17	1366	150487
18	1438	150025
19	1491	147624
20	1544	145523
21	1660	149261
22	1723	148160
23	1898	156296
24	2073	163802
25	2183	165784
26	2406	175877
27	2532	178364
28	2599	176698
29	2696	177066
30	2725	173139
31	2793	171769
32	2876	171437
33	3116	180208
34	3368	189112
35	3712	202534
36	3840	203737
37	4014	207283
38	4281	215264
39	4336	212496
40	4606	220086
41	4857	226434
42	5083	231348
43	5286	235020
44	5427	235813
45	5633	239315
46	5826	242107
47	6014	244604
48	6140	244507
49	6314	246249
50	6343	242407
51	6537	244899
52	6722	246953
53	6915	249220
54	6995	247400
55	7184	249408
56	7385	251766
57	7582	253889
58	7714	253781
59	7785	251745
60	7843	249333
61	8144	254590
62	8410	258588
63	8465	256074
64	8541	254259
65	8716	255427
66	8968	258751
67	9301	264267
68	9627	269438
69	9974	274997
70	10405	282715
71	10685	286127
72	10959	289303
73	11225	292177
74	11457	294079
75	11705	296346
76	11862	296263
77	12094	298009
78	12369	300778
79	12639	303340
80	12682	300469
81	12907	301909
82	12936	298775
83	13069	298110
84	13217	297779
85	13344	296993
86	13526	297430
87	13715	297996
88	13918	298850
89	13998	297089
90	14190	297685
91	14379	298215
92	14441	296122
93	14623	296506
94	14643	293634
95	14847	294479
96	15031	294896
97	15225	295491
98	15383	295402
99	15403	292657
100	15591	293154
101	15790	293828
102	15998	294646
103	16181	294999
104	16203	292437
105	16408	293181
106	16603	293733
107	16881	295731
108	17269	299610
109	17645	303185
110	18034	306915
111	18357	309452
112	18634	311181
113	18903	312740
114	19180	314389
115	19630	318830
116	19685	316819
117	20147	321338
118	20465	323485
119	20850	326660
120	21097	327623
121	21326	328289
122	21503	328152
123	21686	328095
124	21864	327972
125	22068	328229
126	22240	328002
127	22411	327772
128	22601	327808
129	22783	327738
130	22961	327589
131	23162	327789
132	23358	327892
133	23544	327862
134	23839	329336
135	24149	330989
136	24470	332763
137	24750	333952
138	24991	334603
139	25277	335825
140	25547	336831
141	25853	338285
142	26133	339374
143	26407	340357
144	26642	340844
145	26928	341957
146	27235	343318
147	27558	344850
148	27911	346739
149	28228	348153
150	28513	349152
151	28708	349039
152	28926	349203
153	29208	350125
154	29471	350807
155	29770	351902
156	30153	353964
157	30241	352560
158	30434	352391
159	30655	352532
160	30908	353043
161	31121	353096
162	31329	353082
163	31563	353353
164	31809	353755
165	32041	354004
166	32242	353891
167	32452	353890
168	32686	354139
169	32914	354309
170	33139	354453
171	33354	354491
172	33598	354819
173	33857	355304
174	34100	355614
175	34318	355661
176	34604	356409
177	34867	356906
178	35152	357610
179	35409	358026
180	35717	358949
181	35945	359062
182	36261	360043
183	36658	361805
184	37083	363820
185	37466	365403
186	37834	366811
187	38289	369041
188	38733	371148
189	39157	373031
190	39625	375300
191	40056	377201
192	40467	378887
193	40980	381501
194	41453	383711
195	41928	385914
196	42308	387216
197	42708	388689
198	43076	389857
199	43465	391188
200	43859	392555
201	44141	392905
202	44365	392733
203	44598	392644
204	44818	392434
205	45015	392028
206	45249	391940
207	45472	391763
208	45671	391378
209	45871	391002
210	46051	390459
211	46248	390059
212	46451	389709
213	46643	389278
214	46832	388819
215	47029	388429
216	47260	388318
217	47484	388149
218	47697	387900
219	47935	387840
220	48152	387618
221	48372	387418
222	48590	387197
223	48799	386906
224	49008	386621
225	49227	386416
226	49432	386093
227	49674	386067
228	49940	386220
229	50171	386099
230	50437	386253
231	50665	386102
232	50894	385964
233	51103	385675
234	51299	385292
235	51474	384747
236	51648	384205
237	51855	383907
238	52039	383441
239	52209	382871
240	52403	382482
241	52591	382049
242	52767	381534
243	52976	381256
244	53160	380803
245	53361	380471
246	53568	380186
247	53789	379996
248	54030	379946
249	54242	379700
250	54483	379646
251	54712	379514
252	54945	379405
253	55167	379220
254	55371	378912
255	55578	378625
256	55799	378440
257	56060	378518
258	56302	378465
259	56548	378440
260	56804	378475
261	57039	378377
262	57327	378624
263	57560	378500
264	57791	378369
265	58046	378390
266	58236	377989
267	58425	377584
268	58611	377164
269	58798	376743
270	58995	376397
271	59194	376059
272	59355	375485
273	59540	375062
274	59722	374620
275	59902	374171
276	60110	373899
277	60319	373633
278	60527	373358
279	60756	373216
280	60981	373049
281	61205	372876
282	61410	372586
283	61624	372348
284	61822	372020
285	62039	371805
286	62238	371476
287	62451	371236
288	62676	371069
289	62912	370964
290	63159	370924
291	63406	370882
292	63655	370855
293	63918	370902
294	64196	371034
295	64406	370771
296	64642	370658
297	64852	370399
298	65050	370069
299	65232	369653
300	65431	369328
301	65632	369018
302	65812	368591
303	65984	368123
304	66187	367827
305	66386	367513
306	66568	367102
307	66766	366782
308	66951	366389
309	67180	366241
310	67420	366150
311	67654	366030
312	67901	365972
313	68119	365760
314	68337	365552
315	68561	365372
316	68768	365099
317	68945	364674
318	69129	364286
319	69356	364122
320	69578	363934
321	69807	363778
322	70029	363589
323	70266	363476
324	70482	363254
325	70732	363209
326	70986	363181
327	71205	362972
328	71427	362780
329	71642	362555
330	71828	362181
331	72017	361823
332	72205	361462
333	72411	361187
334	72600	360833
335	72793	360499
336	72975	360113
337	73147	359676
338	73345	359369
339	73530	359002
340	73732	358714
341	73953	358521
342	74170	358311
343	74407	358195
344	74581	357776
345	74810	357618
346	75030	357420
347	75215	357059
348	75406	356722
349	75593	356367
350	75770	355968
351	75958	355624
352	76157	355329
353	76406	355268
354	76617	355029
355	76853	354906
356	77096	354814
357	77357	354806
358	77604	354730
359	77846	354636
360	78076	354479
361	78315	354366
362	78514	354071
